encryption,compression,compressionBzip2,compressionGzip,compressionLzo,compressionZpaq,compressionLzma,unlimitedWindowSize,disableCompressibilityTesting,level,processorCount,maxRam,<$performance
0,0,0,0,0,0,0,0,0,1,1,2,10704.6
0,0,0,0,0,0,0,0,0,2,1,2,10718.8
0,0,0,0,0,0,0,0,0,3,1,2,11073.8
0,0,0,0,0,0,0,0,0,4,1,2,11668.6
0,0,0,0,0,0,0,0,0,5,1,2,12641.8
0,0,0,0,0,0,0,0,0,6,1,2,14216.6
0,0,0,0,0,0,0,0,0,7,1,2,18311.8
0,0,0,0,0,0,0,0,0,8,1,2,18378
0,0,0,0,0,0,0,0,0,9,1,2,18394.8
0,0,0,0,0,0,0,0,0,1,2,2,10253.2
0,0,0,0,0,0,0,0,0,2,2,2,10439.2
0,0,0,0,0,0,0,0,0,3,2,2,11001.6
0,0,0,0,0,0,0,0,0,4,2,2,11737.6
0,0,0,0,0,0,0,0,0,5,2,2,12648.4
0,0,0,0,0,0,0,0,0,6,2,2,14339.2
0,0,0,0,0,0,0,0,0,7,2,2,18344.4
0,0,0,0,0,0,0,0,0,8,2,2,18697.4
0,0,0,0,0,0,0,0,0,9,2,2,18494.2
0,0,0,0,0,0,0,0,0,1,3,2,10341.4
0,0,0,0,0,0,0,0,0,2,3,2,10597.6
0,0,0,0,0,0,0,0,0,3,3,2,11135.6
0,0,0,0,0,0,0,0,0,4,3,2,11981.8
0,0,0,0,0,0,0,0,0,5,3,2,12866.2
0,0,0,0,0,0,0,0,0,6,3,2,14263.8
0,0,0,0,0,0,0,0,0,7,3,2,18458
0,0,0,0,0,0,0,0,0,8,3,2,18454.4
0,0,0,0,0,0,0,0,0,9,3,2,18600
0,0,0,0,0,0,0,0,0,1,4,2,10483.6
0,0,0,0,0,0,0,0,0,2,4,2,10740.8
0,0,0,0,0,0,0,0,0,3,4,2,11494
0,0,0,0,0,0,0,0,0,4,4,2,12033.8
0,0,0,0,0,0,0,0,0,5,4,2,12876.6
0,0,0,0,0,0,0,0,0,6,4,2,14283.8
0,0,0,0,0,0,0,0,0,7,4,2,18475.2
0,0,0,0,0,0,0,0,0,8,4,2,18421.8
0,0,0,0,0,0,0,0,0,9,4,2,18646.6
0,0,0,0,0,0,0,0,0,1,1,6,10499.4
0,0,0,0,0,0,0,0,0,2,1,6,10508.6
0,0,0,0,0,0,0,0,0,3,1,6,10651.6
0,0,0,0,0,0,0,0,0,4,1,6,10989.2
0,0,0,0,0,0,0,0,0,5,1,6,11625.2
0,0,0,0,0,0,0,0,0,6,1,6,12361.2
0,0,0,0,0,0,0,0,0,7,1,6,14367.8
0,0,0,0,0,0,0,0,0,8,1,6,14423.2
0,0,0,0,0,0,0,0,0,9,1,6,14478.2
0,0,0,0,0,0,0,0,0,1,2,6,10417.6
0,0,0,0,0,0,0,0,0,2,2,6,10562.4
0,0,0,0,0,0,0,0,0,3,2,6,10630.8
0,0,0,0,0,0,0,0,0,4,2,6,11118.4
0,0,0,0,0,0,0,0,0,5,2,6,11569.4
0,0,0,0,0,0,0,0,0,6,2,6,12270.6
0,0,0,0,0,0,0,0,0,7,2,6,14550.4
0,0,0,0,0,0,0,0,0,8,2,6,14369.2
0,0,0,0,0,0,0,0,0,9,2,6,14717.8
0,0,0,0,0,0,0,0,0,1,3,6,10756
0,0,0,0,0,0,0,0,0,2,3,6,10607.6
0,0,0,0,0,0,0,0,0,3,3,6,10671.2
0,0,0,0,0,0,0,0,0,4,3,6,11193
0,0,0,0,0,0,0,0,0,5,3,6,11660.4
0,0,0,0,0,0,0,0,0,6,3,6,12303
0,0,0,0,0,0,0,0,0,7,3,6,14434.2
0,0,0,0,0,0,0,0,0,8,3,6,14313
0,0,0,0,0,0,0,0,0,9,3,6,14704.8
0,0,0,0,0,0,0,0,0,1,4,6,10500.4
0,0,0,0,0,0,0,0,0,2,4,6,10451
0,0,0,0,0,0,0,0,0,3,4,6,10722.2
0,0,0,0,0,0,0,0,0,4,4,6,11154.2
0,0,0,0,0,0,0,0,0,5,4,6,11763
